Future_Date,prediction_PM2.5,prediction_PM10,prediction_SO2,prediction_CO,prediction_Ozone,prediction_NO2,aqi_PM2.5,aqi_PM10,aqi_SO2,aqi_CO,aqi_Ozone,aqi_NO2,prediction_AQI
2023-03-31 23:00:00,30.547670364379883,74.8430404663086,11.067773818969727,0.9714168310165405,7.230955600738525,60.110782623291016,,74.8430404663086,13.834717273712158,48.570841550827026,7.230955600738525,75.01098329592973,75.01098329592973
2023-04-01 00:00:00,30.495914459228516,82.2533187866211,19.128902435302734,0.9985187649726868,15.584328651428223,66.0024185180664,,82.2533187866211,23.911128044128418,49.92593824863434,15.584328651428223,82.41329506116035,82.41329506116035
2023-04-01 01:00:00,29.983495712280273,88.42902374267578,23.234546661376953,1.0053737163543701,25.46666145324707,66.34701538085938,49.97249285380046,88.42902374267578,29.04318332672119,,25.46666145324707,82.84625009390024,88.42902374267578
2023-04-01 02:00:00,29.43777084350586,92.63887786865234,23.443265914916992,1.0148594379425049,35.1151123046875,62.18111801147461,49.0629514058431,92.63887786865234,29.30408239364624,,35.1151123046875,77.61217391185272,92.63887786865234
2023-04-01 03:00:00,28.665889739990234,95.02837371826172,22.52860450744629,1.0286885499954224,42.34722137451172,55.857887268066406,47.776482899983726,95.02837371826172,28.16075563430786,,42.34722137451172,69.667601952186,95.02837371826172
2023-04-01 04:00:00,27.73153305053711,95.8080825805664,22.17721939086914,1.0445853471755981,45.5037727355957,48.923526763916016,46.21922175089519,95.8080825805664,27.721524238586426,,45.5037727355957,60.95520029312525,95.8080825805664
2023-04-01 05:00:00,26.67774200439453,95.51197814941406,22.456531524658203,1.0574541091918945,44.005104064941406,41.85757827758789,44.462903340657554,95.51197814941406,28.070664405822754,,44.005104064941406,52.07747014363607,95.51197814941406
2023-04-01 06:00:00,25.436792373657227,94.49031066894531,22.758573532104492,1.0570017099380493,38.400421142578125,35.18671798706055,42.39465395609538,94.49031066894531,28.448216915130615,,38.400421142578125,43.983397483825684,94.49031066894531
2023-04-01 07:00:00,24.082195281982422,92.95832824707031,23.0178165435791,1.0610888004302979,30.27593421936035,29.09305191040039,40.136992136637375,92.95832824707031,28.772270679473877,,30.27593421936035,36.36631488800049,92.95832824707031
2023-04-01 08:00:00,22.79014015197754,91.1844482421875,23.17807960510254,1.0758246183395386,21.86063575744629,23.359107971191406,37.98356691996257,91.1844482421875,28.972599506378174,,21.86063575744629,29.198884963989258,91.1844482421875
2023-04-01 09:00:00,21.61606216430664,89.61412811279297,23.102161407470703,1.1002968549728394,15.077503204345703,17.85637855529785,36.026770273844406,89.61412811279297,28.87770175933838,51.016162104076805,15.077503204345703,22.320473194122314,89.61412811279297
2023-04-01 10:00:00,20.617429733276367,88.36637115478516,22.999181747436523,1.1378183364868164,10.737446784973145,12.440425872802734,34.362382888793945,88.36637115478516,28.748977184295654,53.05899831983778,10.737446784973145,15.550532341003418,88.36637115478516
2023-04-01 11:00:00,19.780187606811523,87.4995346069336,22.941131591796875,1.188310146331787,8.660325050354004,6.900125026702881,32.966979344685875,87.4995346069336,28.676414489746094,55.807996855841736,8.660325050354004,8.625156283378601,87.4995346069336
2023-04-01 12:00:00,19.080806732177734,87.1893539428711,22.810626983642578,1.2462159395217896,8.313529968261719,1.301693320274353,31.80134455362956,87.1893539428711,28.513283729553223,58.96064559618632,8.313529968261719,1.6271166503429413,87.1893539428711
2023-04-01 13:00:00,18.45873260498047,87.3384780883789,22.731290817260742,1.3048614263534546,9.242559432983398,-4.164693355560303,30.764554341634117,87.3384780883789,28.414113521575928,62.1535665459103,9.242559432983398,,87.3384780883789
2023-04-01 14:00:00,18.034692764282227,88.06217956542969,22.709890365600586,1.338647484779358,11.185989379882812,-9.079745292663574,30.05782127380371,88.06217956542969,28.387362957000732,63.993029726876145,11.185989379882812,,88.06217956542969
2023-04-01 15:00:00,17.81712532043457,89.18773651123047,22.593639373779297,1.347617268562317,14.027624130249023,-12.60330867767334,29.695208867390953,89.18773651123047,28.24204921722412,64.48138462172614,14.027624130249023,,89.18773651123047
2023-04-01 16:00:00,17.769298553466797,90.77922058105469,22.450422286987305,1.340223789215088,17.69945526123047,-13.35949420928955,29.615497589111328,90.77922058105469,28.06302785873413,64.07885074615479,17.69945526123047,,90.77922058105469
2023-04-01 17:00:00,17.850669860839844,92.78731536865234,22.406681060791016,1.323412537574768,22.06424331665039,-9.285491943359375,29.751116434733074,92.78731536865234,28.00835132598877,63.16357149018181,22.06424331665039,,92.78731536865234
2023-04-01 18:00:00,18.01926612854004,95.02758026123047,22.38556480407715,1.302002191543579,26.79681396484375,1.780116081237793,30.0321102142334,95.02758026123047,27.981956005096436,61.997897095150414,26.79681396484375,2.225145101547241,95.02758026123047
2023-04-01 19:00:00,18.275070190429688,97.26480865478516,22.505327224731445,1.2712130546569824,31.34213638305664,20.244178771972656,30.458450317382812,97.26480865478516,28.131659030914307,60.32159964243571,31.34213638305664,25.30522346496582,97.26480865478516
2023-04-01 20:00:00,18.575681686401367,99.32054138183594,22.77244758605957,1.2272586822509766,35.00990295410156,41.70806884765625,30.959469477335613,99.32054138183594,28.465559482574463,57.9285282558865,35.00990295410156,51.8896249624399,99.32054138183594
2023-04-01 21:00:00,18.80706214904785,101.10321044921875,22.83658218383789,1.1857041120529175,37.172813415527344,57.77790832519531,31.34510358174642,101.06857607028628,28.545727729797363,55.6661127673255,37.172813415527344,72.07993610088641,101.06857607028628
2023-04-01 22:00:00,18.833478927612305,102.72915649414062,22.74822998046875,1.1701382398605347,37.47584533691406,63.00569534301758,31.389131546020508,102.14890263704646,28.435287475585938,54.81863750351799,37.47584533691406,78.64818132840671,102.14890263704646
